sector,price,price_per_sqft,built_up_area,bedRoom,bathroom,property_type,latitude,longitude
sector 36,0.82,7586.0,850.0,3.0,2.0,flat,28.416,76.9914
sector 89,0.95,8597.0,1226.0,2.0,2.0,flat,28.4253,76.9439
sohna road,0.32,5470.0,1000.0,2.0,2.0,flat,,
sector 92,1.6,8020.0,1615.0,3.0,4.0,flat,28.4079,76.9153
sector 102,0.48,9023.0,582.0,2.0,2.0,flat,28.475,76.9715
gwal pahari,7.5,14019.0,4842.0,4.0,4.0,flat,28.4484,77.021
sector 108,2.0,8554.0,2116.0,3.0,3.0,flat,28.5134,76.983
sector 102,1.9,9104.0,1710.0,3.0,4.0,flat,28.475,76.9715
sector 105,1.2,10118.0,1185.51,3.0,2.0,house,28.4952,77.0114
sector 26,4.5,33333.0,1350.0,3.0,3.0,house,28.4757,77.1032
sector 109,1.55,6568.0,2360.0,3.0,2.0,house,28.5073,77.0089
sector 28,1.6,14545.0,1222.0,2.0,2.0,flat,28.4728,77.0865
sector 109,2.25,8704.0,2339.0,3.0,4.0,flat,28.5073,77.0089
sector 65,2.77,14025.0,2194.0,4.0,4.0,flat,28.403,77.069
sector 12,1.2,14184.0,846.0,2.0,4.0,house,28.4723,77.032
sector 92,1.55,7568.0,1805.0,3.0,4.0,flat,28.4079,76.9153
sector 85,1.09,6667.0,1638.0,2.0,2.0,flat,28.4042,76.9513
sector 70a,1.15,11500.0,1400.0,2.0,2.0,flat,,
sector 85,1.77,7350.0,2179.0,3.0,4.0,flat,28.4042,76.9513
sector 30,0.85,12859.0,734.0,2.0,2.0,flat,28.4604,77.0579
sector 107,0.9,6589.0,1236.0,2.0,2.0,flat,28.5052,76.9729
sector 3,1.2,8310.0,1307.0,2.0,2.0,flat,28.4909,77.0176
sector 2,0.6,8163.0,665.0,1.0,1.0,flat,28.5095,77.032
sector 41,9.0,27778.0,3240.0,8.0,5.0,house,28.4557,77.0632
sector 41,7.0,28283.0,2475.0,7.0,7.0,house,28.4557,77.0632
sector 28,0.9,7235.0,1382.0,4.0,2.0,flat,28.4728,77.0865
sector 4,0.4,8889.0,450.0,1.0,1.0,house,28.4738,77.0107
sector 109,5.65,10463.0,5400.0,4.0,4.0,house,28.5073,77.0089
sector 62,2.15,14257.0,1676.0,2.0,2.0,flat,28.4139,77.0886
sector 49,4.4,15278.0,2880.0,6.0,6.0,house,28.4121,77.048
sector 81,0.64,5263.0,1361.0,2.0,2.0,flat,28.3867,76.9485
sector 65,2.86,13999.0,2267.0,3.0,3.0,flat,28.403,77.069
sector 66,3.5,15909.0,2125.0,3.0,3.0,flat,28.3925,77.0541
sector 89,0.7,5397.0,1297.0,2.0,2.0,house,28.4253,76.9439
sector 86,1.54,9222.0,1780.0,3.0,3.0,flat,28.3986,76.9384
sector 48,8.25,38194.0,2160.0,4.0,4.0,house,28.4177,77.0359
sector 109,6.1,25103.0,2430.0,5.0,6.0,house,28.5073,77.0089
sector 51,2.1,9130.0,2300.0,4.0,4.0,flat,28.432,77.0686
sector 37,1.25,7176.0,1563.0,3.0,3.0,flat,28.4375,76.9999
sector 111,0.7,10057.0,773.0,2.0,2.0,flat,28.5238,77.032
sector 67,2.8,13679.0,2047.0,3.0,3.0,flat,28.3859,77.0608
sector 28,5.5,30556.0,1800.0,4.0,3.0,house,28.4728,77.0865
sector 111,2.58,11727.0,2200.0,3.0,4.0,flat,28.5238,77.032
sector 113,3.0,14286.0,2460.0,3.0,3.0,flat,28.5287,77.0233
sector 13,1.25,12077.0,115.0,3.0,6.0,house,28.4757,77.0392
sector 61,2.1,13752.0,1534.0,3.0,2.0,flat,28.405,77.0963
sector 113,2.45,10788.0,2014.0,3.0,3.0,flat,28.5287,77.0233
sector 69,1.38,8973.0,1709.0,3.0,3.0,flat,28.3966,77.0341
sector 89,1.71,12000.0,1423.0,3.0,2.0,flat,28.4253,76.9439
sector 67a,1.85,9531.0,1941.0,3.0,4.0,flat,28.396,77.0372
sector 37d,0.6,9231.0,625.0,2.0,2.0,flat,28.4478,76.9703
sector 82,0.81,6193.0,1176.0,2.0,2.0,flat,28.3935,76.96
sector 53,5.6,19364.0,2617.0,3.0,3.0,flat,28.4433,77.0948
sector 74,1.5,12500.0,1300.0,2.0,2.0,flat,28.4158,77.0118
sector 37d,1.45,8007.0,1639.0,3.0,3.0,flat,28.4478,76.9703
sector 108,1.65,8238.0,1771.32,3.0,4.0,flat,28.5134,76.983
sector 52,0.45,9740.0,513.0,1.0,1.0,flat,28.4379,77.0785
sector 12,0.35,4037.0,737.0,2.0,2.0,flat,28.4723,77.032
sector 43,5.75,23663.0,2430.0,4.0,4.0,house,28.4629,77.0772
sector 85,1.12,6452.0,1485.0,2.0,2.0,flat,28.4042,76.9513
sector 36,0.75,7500.0,856.0,2.0,2.0,flat,28.416,76.9914
sector 89,0.25,5000.0,430.0,1.0,1.0,flat,28.4253,76.9439
sector 4,0.67,8557.0,783.0,3.0,2.0,house,28.4738,77.0107
sector 2,0.56,8629.0,723.0,1.0,1.0,flat,28.5095,77.032
sector 70a,1.75,10258.0,1706.0,3.0,4.0,flat,,
sector 14,4.15,18444.0,2250.0,5.0,4.0,house,28.4711,77.0454
sector 67,3.4,14419.0,2134.0,3.0,4.0,flat,28.3859,77.0608
sector 81,2.3,10937.0,1617.0,3.0,3.0,flat,28.3867,76.9485
sector 25,7.6,38756.0,1961.0,2.0,9.0,house,28.4844,77.086
sector 95,0.32,5735.0,610.0,2.0,2.0,flat,28.4172,76.9081
sector 102,0.45,6000.0,750.0,1.0,1.0,flat,28.475,76.9715
sector 56,2.99,20635.0,1449.0,4.0,4.0,house,28.4245,77.0991
sector 109,1.5,6977.0,1797.0,3.0,4.0,flat,28.5073,77.0089
sector 41,2.65,18929.0,1400.0,3.0,3.0,house,28.4557,77.0632
sector 3,1.5,7576.0,1980.0,7.0,2.0,house,28.4909,77.0176
sector 86,1.5,7895.0,1719.0,3.0,3.0,flat,28.3986,76.9384
sector 48,9.3,24926.0,3831.0,4.0,4.0,flat,28.4177,77.0359
sector 83,1.19,7225.0,1630.0,2.0,2.0,flat,28.3986,76.9647
sector 107,0.5,4762.0,850.0,3.0,2.0,flat,28.5052,76.9729
sector 104,1.4,15819.0,1120.0,3.0,2.0,flat,28.4788,76.996
sector 88a,1.0,6897.0,1611.0,2.0,2.0,flat,28.4347,76.9557
sohna road,1.3,7424.0,1509.0,3.0,3.0,flat,,
sector 85,0.9,6429.0,1402.0,3.0,3.0,flat,28.4042,76.9513
sector 105,0.5,5556.0,100.0,2.0,2.0,house,28.4952,77.0114
sector 83,1.15,5808.0,1350.0,3.0,3.0,flat,28.3986,76.9647
sector 69,1.36,8619.0,1428.0,3.0,3.0,flat,28.3966,77.0341
sector 102,1.4,11667.0,1286.0,2.0,2.0,flat,28.475,76.9715
sector 55,2.8,18667.0,1500.0,4.0,4.0,house,28.4281,77.11
sector 50,10.45,32253.0,3240.0,5.0,7.0,house,28.4178,77.0628
sector 84,0.34,7039.0,537.0,2.0,2.0,flat,28.3979,76.9736
sector 84,0.39,6500.0,549.0,2.0,2.0,flat,28.3979,76.9736
sector 4,1.1,11111.0,990.0,3.0,4.0,house,28.4738,77.0107
sohna road,0.35,6076.0,521.0,2.0,2.0,flat,,
sector 91,1.75,11118.0,2107.0,4.0,3.0,flat,28.4014,76.9225
sector 49,2.1,10417.0,1604.25,3.0,3.0,flat,28.4121,77.048
sector 48,3.65,15240.0,2395.0,3.0,3.0,flat,28.4177,77.0359
sohna road,0.95,6485.0,1175.97,2.0,2.0,flat,,
sector 69,1.29,8227.0,1419.0,3.0,3.0,flat,28.3966,77.0341
sector 76,0.75,10067.0,745.0,2.0,2.0,house,28.3935,76.9888
sector 82a,1.85,10283.0,1668.0,3.0,3.0,flat,28.3858,76.9686
sector 78,0.7,5719.0,1224.0,2.0,2.0,flat,28.3733,76.9729
sector 95,0.32,5829.0,610.0,2.0,2.0,flat,28.4172,76.9081
manesar,0.85,3696.0,2556.0,3.0,3.0,flat,28.3515,76.9428
sector 93,1.25,5700.0,2105.0,4.0,4.0,flat,28.4153,76.9326
sector 7,0.54,5889.0,1000.0,2.0,2.0,flat,28.4644,77.0143
sector 71,0.79,6594.0,1084.0,2.0,2.0,flat,28.4104,77.0281
sector 25,10.0,37037.0,9500.0,5.0,5.0,house,28.4844,77.086
sector 56,1.71,7600.0,2251.0,3.0,3.0,flat,28.4245,77.0991
sector 110,1.4,9655.0,1550.0,3.0,3.0,flat,28.5145,77.0197
sector 67,3.65,13529.0,2490.0,3.0,4.0,flat,28.3859,77.0608
sector 107,0.6,8000.0,750.0,3.0,2.0,flat,28.5052,76.9729
sector 69,1.44,9125.0,1381.0,3.0,3.0,flat,28.3966,77.0341
sector 113,2.37,11499.0,2060.0,4.0,4.0,flat,28.5287,77.0233
sector 104,0.2,6645.0,334.0,1.0,2.0,flat,28.4788,76.996
sector 33,1.5,10197.0,1539.0,2.0,2.0,flat,28.442,77.0207
sector 113,1.83,13969.0,1310.0,2.0,2.0,flat,28.5287,77.0233
sector 4,3.2,14222.0,2250.0,3.0,3.0,house,28.4738,77.0107
sector 88a,0.5,8375.0,663.0,3.0,2.0,flat,28.4347,76.9557
sector 41,3.4,11724.0,2900.0,4.0,4.0,flat,28.4557,77.0632
sector 102,4.55,10000.0,4630.0,4.0,4.0,flat,28.475,76.9715
sector 49,1.72,7818.0,2444.0,3.0,3.0,flat,28.4121,77.048
sector 61,2.2,13497.0,1778.0,3.0,3.0,flat,28.405,77.0963
sector 82,0.63,5590.0,1026.0,2.0,2.0,flat,28.3935,76.96
sector 37,1.4,7035.0,1890.0,3.0,3.0,flat,28.4375,76.9999
sector 70,1.13,7001.0,1457.0,3.0,3.0,flat,28.3968,77.0233
sector 104,1.95,21196.0,920.0,3.0,5.0,house,28.4788,76.996
sector 70,1.75,8974.0,1950.0,3.0,5.0,flat,28.3968,77.0233
sector 103,2.45,8522.0,2602.0,4.0,4.0,flat,28.4949,76.9845
sector 82,4.7,21759.0,2160.0,3.0,3.0,house,28.3935,76.96
sector 28,0.7,8102.0,864.0,2.0,2.0,house,28.4728,77.0865
sector 89,1.3,8701.0,1179.0,3.0,3.0,flat,28.4253,76.9439
sector 109,6.5,12037.0,5400.0,4.0,4.0,house,28.5073,77.0089
sector 37d,0.55,9167.0,543.0,2.0,2.0,flat,28.4478,76.9703
sohna road,0.9,8036.0,1014.0,3.0,2.0,flat,,
sector 107,1.15,7497.0,1281.0,2.0,2.0,flat,28.5052,76.9729
sector 66,3.5,16471.0,2150.0,3.0,4.0,flat,28.3925,77.0541
sector 90,1.78,8036.0,2000.0,4.0,4.0,flat,28.4085,76.9369
sector 43,2.5,13514.0,1674.0,3.0,2.0,flat,28.4629,77.0772
sector 38,3.9,21242.0,1836.0,6.0,6.0,house,28.4347,77.043
sector 3,0.55,6707.0,810.0,2.0,2.0,house,28.4909,77.0176
sector 37d,1.67,7622.0,2091.0,4.0,4.0,flat,28.4478,76.9703
sector 90,0.65,6792.0,1050.0,2.0,2.0,flat,28.4085,76.9369
sector 65,5.5,16960.0,2803.0,3.0,4.0,flat,28.403,77.069
sector 90,2.05,8999.0,2005.0,4.0,4.0,flat,28.4085,76.9369
sector 51,2.25,2778.0,900.0,6.0,3.0,house,28.432,77.0686
sector 33,11.0,26667.0,4125.0,5.0,6.0,house,28.442,77.0207
sector 102,1.41,10307.0,1238.0,2.0,2.0,flat,28.475,76.9715
sector 79,1.65,9091.0,1815.0,3.0,3.0,flat,28.3624,76.9787
sector 83,0.98,8167.0,1300.0,2.0,2.0,flat,28.3986,76.9647
sector 14,2.2,12500.0,1956.0,3.0,4.0,flat,28.4711,77.0454
sector 86,1.5,7776.0,1550.0,3.0,3.0,flat,28.3986,76.9384
sector 103,4.35,13501.0,3222.0,4.0,4.0,house,28.4949,76.9845
sector 69,1.3,8286.0,1419.0,3.0,3.0,flat,28.3966,77.0341
sector 71,1.1,6104.0,1631.0,3.0,4.0,flat,28.4104,77.0281
sector 82a,1.59,10338.0,1668.0,3.0,3.0,flat,28.3858,76.9686
sector 88a,1.65,9041.0,1652.0,3.0,3.0,flat,28.4347,76.9557
sector 81,2.28,10842.0,1750.0,3.0,3.0,flat,28.3867,76.9485
sector 90,1.6,6768.0,2139.0,4.0,4.0,flat,28.4085,76.9369
sector 90,1.21,6926.0,1581.0,3.0,3.0,flat,28.4085,76.9369
sector 90,1.25,10417.0,1437.0,3.0,3.0,flat,28.4085,76.9369
sector 2,0.98,6931.0,1281.0,2.0,2.0,flat,28.5095,77.032
sector 108,0.93,6078.0,1161.0,2.0,3.0,flat,28.5134,76.983
sector 61,2.24,14461.0,1402.0,3.0,3.0,flat,28.405,77.0963
sector 56,1.55,7750.0,1810.0,3.0,3.0,flat,28.4245,77.0991
sector 79,0.78,6023.0,1172.0,2.0,2.0,flat,28.3624,76.9787
sector 113,1.93,12223.0,1429.0,3.0,3.0,flat,28.5287,77.0233
sector 104,2.6,8814.0,3064.0,4.0,4.0,flat,28.4788,76.996
sector 112,7.46,10260.0,6350.0,4.0,4.0,house,28.5189,77.0183
sector 22,4.8,19200.0,2778.0,4.0,6.0,flat,28.5072,77.064
sector 108,0.97,9238.0,1167.0,2.0,2.0,flat,28.5134,76.983
sector 102,0.97,10601.0,828.0,2.0,2.0,flat,28.475,76.9715
sector 92,1.7,8586.0,1475.0,3.0,4.0,flat,28.4079,76.9153
sector 26,6.75,27778.0,2430.0,3.0,3.0,house,28.4757,77.1032
sector 90,1.2,6218.0,2144.0,3.0,3.0,flat,28.4085,76.9369
sector 70,1.65,8462.0,1527.0,3.0,5.0,flat,28.3968,77.0233
sector 13,1.5,11538.0,1300.0,2.0,7.0,house,28.4757,77.0392
sector 84,0.69,5111.0,1222.0,2.0,2.0,flat,28.3979,76.9736
sector 85,1.2,7151.0,1660.0,2.0,2.0,flat,28.4042,76.9513
sector 92,0.75,4688.0,1778.0,3.0,4.0,flat,28.4079,76.9153
sector 49,1.69,8622.0,2178.0,3.0,3.0,flat,28.4121,77.048
sector 67,4.5,14098.0,3160.0,4.0,4.0,flat,28.3859,77.0608
sector 33,8.5,17820.0,4770.0,5.0,5.0,house,28.442,77.0207
sector 107,0.4,6645.0,577.0,2.0,2.0,flat,28.5052,76.9729
manesar,0.9,3648.0,2233.0,4.0,4.0,flat,28.3515,76.9428
sector 52,5.0,7692.0,5778.0,5.0,7.0,flat,28.4379,77.0785
sector 76,1.9,11364.0,1513.0,3.0,3.0,flat,28.3935,76.9888
sector 84,1.24,6465.0,1650.0,3.0,3.0,flat,28.3979,76.9736
sector 33,1.4,21538.0,588.0,3.0,3.0,flat,28.442,77.0207
sector 95,0.46,6319.0,809.0,2.0,2.0,flat,28.4172,76.9081
gwal pahari,1.38,12212.0,1130.0,2.0,2.0,flat,28.4484,77.021
sector 102,1.82,9372.0,1757.0,3.0,4.0,flat,28.475,76.9715
sohna road,0.4,6723.0,661.0,2.0,2.0,flat,,
manesar,0.86,3323.0,1900.0,3.0,3.0,flat,28.3515,76.9428
sector 70,1.65,8462.0,2167.0,3.0,3.0,flat,28.3968,77.0233
sector 59,3.78,16499.0,2550.0,3.0,3.0,flat,28.4051,77.1097
sector 102,1.42,8606.0,1315.0,3.0,3.0,flat,28.475,76.9715
sector 109,1.4,8000.0,1466.0,3.0,3.0,flat,28.5073,77.0089
sector 95,0.27,2700.0,758.0,2.0,2.0,flat,28.4172,76.9081
sector 86,0.42,8485.0,557.0,2.0,2.0,flat,28.3986,76.9384
sector 99,0.26,4745.0,611.0,2.0,2.0,flat,28.464,76.9614
sector 95,0.4,5839.0,761.0,3.0,2.0,flat,28.4172,76.9081
sector 56,2.05,9535.0,2000.0,4.0,4.0,flat,28.4245,77.0991
sector 92,0.87,4971.0,1584.0,4.0,4.0,flat,28.4079,76.9153
sector 86,1.65,8707.0,1715.0,3.0,4.0,flat,28.3986,76.9384
sector 12,0.42,8235.0,567.0,3.0,3.0,house,28.4723,77.032
sector 65,2.75,13924.0,1975.0,4.0,4.0,flat,28.403,77.069
sector 9,0.88,4889.0,1438.0,3.0,3.0,flat,28.4603,77.0
sector 91,1.4,7407.0,1700.0,3.0,3.0,flat,28.4014,76.9225
sector 65,5.9,17544.0,3043.0,3.0,3.0,flat,28.403,77.069
sector 81,0.82,8641.0,955.0,2.0,2.0,flat,28.3867,76.9485
sector 81,3.3,12222.0,3070.0,4.0,5.0,flat,28.3867,76.9485
sector 92,0.5,7812.0,711.0,3.0,3.0,flat,28.4079,76.9153
sector 69,1.8,9000.0,2200.0,4.0,5.0,flat,28.3966,77.0341
sector 58,4.85,16934.0,3182.0,4.0,5.0,flat,28.42,77.1105
sector 77,1.79,8840.0,1600.0,3.0,3.0,flat,28.3801,76.9845
sector 99,1.13,5658.0,1790.0,3.0,5.0,flat,28.464,76.9614
sector 81,2.29,10926.0,1900.0,3.0,4.0,flat,28.3867,76.9485
sohna road,0.26,6599.0,438.0,1.0,1.0,flat,,
sector 95,0.29,5179.0,507.0,2.0,2.0,flat,28.4172,76.9081
sector 1,1.85,16003.0,1284.0,4.0,3.0,house,28.3663,76.9456
sector 2,0.95,6709.0,1573.0,2.0,2.0,flat,28.5095,77.032
sector 109,1.5,6617.0,2519.0,3.0,3.0,flat,28.5073,77.0089
sector 110,4.0,9850.0,3350.0,4.0,4.0,flat,28.5145,77.0197
sohna road,0.45,6338.0,789.0,2.0,2.0,flat,,
sector 82a,0.62,9538.0,650.0,1.0,1.0,flat,28.3858,76.9686
sector 90,1.15,5959.0,1747.0,3.0,3.0,flat,28.4085,76.9369
sector 83,1.4,6629.0,1570.0,3.0,3.0,flat,28.3986,76.9647
sector 57,3.15,20349.0,1548.0,5.0,4.0,house,28.4232,77.0752
sector 71,0.98,6049.0,1466.0,3.0,3.0,flat,28.4104,77.0281
sector 102,1.75,15514.0,1465.0,3.0,3.0,flat,28.475,76.9715
sector 65,5.0,16667.0,3245.0,3.0,3.0,flat,28.403,77.069
sector 65,2.55,15455.0,1650.0,3.0,3.0,flat,28.403,77.069
sector 33,1.65,8267.0,2218.0,3.0,3.0,flat,28.442,77.0207
sector 106,2.1,8917.0,2131.0,4.0,6.0,flat,28.5007,77.0003
sector 9,0.95,6129.0,1403.0,3.0,3.0,flat,28.4603,77.0
sector 109,2.2,10501.0,1860.0,3.0,4.0,flat,28.5073,77.0089
sector 48,1.38,9485.0,1611.0,3.0,3.0,flat,28.4177,77.0359
sector 25,15.0,23438.0,6400.0,5.0,5.0,house,28.4844,77.086
sector 105,0.42,5600.0,833.0,3.0,2.0,flat,28.4952,77.0114
sector 61,2.55,15644.0,1630.0,3.0,3.0,flat,28.405,77.0963
sector 109,2.3,8897.0,2339.0,3.0,4.0,flat,28.5073,77.0089
sector 65,3.2,10159.0,3150.0,4.0,3.0,flat,28.403,77.069
sector 49,3.75,25562.0,1467.0,2.0,6.0,house,28.4121,77.048
sector 113,2.75,10589.0,2886.0,4.0,4.0,flat,28.5287,77.0233
sector 33,2.0,11179.0,1619.0,3.0,3.0,flat,28.442,77.0207
sector 82a,1.85,10176.0,1677.0,3.0,3.0,flat,28.3858,76.9686
dwarka expressway,1.3,9286.0,1267.0,3.0,3.0,flat,,
sector 90,1.23,7053.0,1578.0,3.0,3.0,flat,28.4085,76.9369
sector 65,2.65,18493.0,1433.0,2.0,2.0,flat,28.403,77.069
sector 9,1.65,18333.0,900.0,2.0,3.0,house,28.4603,77.0
sector 43,3.8,15510.0,2450.0,3.0,3.0,flat,28.4629,77.0772
sector 65,2.85,14430.0,1975.0,4.0,4.0,flat,28.403,77.069
sector 63,7.8,19747.0,3950.0,4.0,4.0,flat,28.3971,77.0867
sector 2,1.5,7825.0,1738.0,3.0,4.0,flat,28.5095,77.032
sector 76,1.75,6250.0,3111.0,4.0,4.0,house,28.3935,76.9888
sector 61,2.17,14000.0,1721.0,3.0,3.0,flat,28.405,77.0963
sector 102,1.35,8182.0,1315.0,3.0,3.0,flat,28.475,76.9715
sector 106,1.05,8537.0,1345.0,3.0,4.0,flat,28.5007,77.0003
sector 14,4.26,13108.0,3250.0,4.0,4.0,flat,28.4711,77.0454
sector 95,0.41,6193.0,670.0,2.0,2.0,flat,28.4172,76.9081
sector 57,3.65,10580.0,3450.0,6.0,6.0,house,28.4232,77.0752
sector 109,1.2,6383.0,1701.0,3.0,2.0,flat,28.5073,77.0089
sector 107,0.98,6422.0,1281.0,2.0,2.0,flat,28.5052,76.9729
sector 56,7.5,23148.0,3240.0,8.0,8.0,house,28.4245,77.0991
sector 70,1.65,7765.0,1923.0,3.0,4.0,flat,28.3968,77.0233
sector 48,5.5,21219.0,2592.0,3.0,6.0,house,28.4177,77.0359
sector 69,1.38,8973.0,1392.0,3.0,3.0,flat,28.3966,77.0341
sector 69,0.8,10485.0,763.0,1.0,1.0,house,28.3966,77.0341
sector 89,0.9,8160.0,998.0,2.0,2.0,flat,28.4253,76.9439
sector 52,1.85,7872.0,2127.0,3.0,3.0,flat,28.4379,77.0785
sector 78,0.75,6053.0,1239.0,2.0,2.0,flat,28.3733,76.9729
sector 99,1.3,6510.0,1997.0,3.0,3.0,flat,28.464,76.9614
sohna road,0.54,7248.0,828.0,2.0,1.0,flat,,
sector 37d,0.55,9167.0,610.0,2.0,2.0,flat,28.4478,76.9703
sector 65,2.0,13957.0,1433.0,2.0,2.0,flat,28.403,77.069
sector 99,1.32,6610.0,1737.0,3.0,5.0,flat,28.464,76.9614
sector 112,5.49,11585.0,3655.35,4.0,5.0,flat,28.5189,77.0183
sector 89,1.0,9009.0,1233.0,2.0,2.0,flat,28.4253,76.9439
sector 79,1.0,6536.0,1700.0,2.0,2.0,flat,28.3624,76.9787
sector 89,0.9,8160.0,998.0,2.0,2.0,flat,28.4253,76.9439
sector 57,3.8,26063.0,1458.0,2.0,8.0,house,28.4232,77.0752
sector 92,0.65,4587.0,1574.0,3.0,3.0,flat,28.4079,76.9153
sector 37d,1.36,8848.0,1535.0,3.0,3.0,flat,28.4478,76.9703
sector 109,11.3,25111.0,4500.0,7.0,5.0,house,28.5073,77.0089
sector 37d,1.25,7251.0,1725.0,3.0,3.0,flat,28.4478,76.9703
sector 110,0.28,3167.0,1000.0,2.0,1.0,flat,28.5145,77.0197
sector 102,1.3,17687.0,1009.0,2.0,2.0,flat,28.475,76.9715
sector 28,13.0,17931.0,8056.0,10.0,10.0,house,28.4728,77.0865
sector 53,4.8,16580.0,2500.0,3.0,4.0,flat,28.4433,77.0948
sector 104,1.35,5015.0,2991.0,4.0,5.0,flat,28.4788,76.996
sector 53,8.25,28004.0,2661.0,3.0,4.0,flat,28.4433,77.0948
sector 5,0.85,8500.0,1000.0,1.0,1.0,house,28.4794,77.0176
sector 92,0.65,4511.0,1304.0,3.0,3.0,flat,28.4079,76.9153
sector 69,0.75,6818.0,1100.0,2.0,2.0,flat,28.3966,77.0341
sector 7,0.69,9103.0,758.0,1.0,1.0,house,28.4644,77.0143
sector 40,5.0,21124.0,2367.0,9.0,9.0,house,28.4498,77.0567
sector 78,0.88,4746.0,1668.0,3.0,4.0,flat,28.3733,76.9729
sector 66,2.1,12353.0,1800.0,3.0,4.0,flat,28.3925,77.0541
sector 65,3.0,16411.0,1828.0,3.0,3.0,flat,28.403,77.069
sector 90,1.7,7222.0,2005.0,4.0,4.0,flat,28.4085,76.9369
sector 83,1.8,9474.0,1549.0,3.0,3.0,flat,28.3986,76.9647
sector 61,1.85,14800.0,1389.0,2.0,2.0,flat,28.405,77.0963
sector 53,6.5,19174.0,3000.0,4.0,5.0,flat,28.4433,77.0948
sector 26,5.8,12838.0,4518.0,4.0,4.0,house,28.4757,77.1032
sector 33,1.1,7971.0,1533.0,2.0,2.0,flat,28.442,77.0207
sector 5,1.5,5000.0,3000.0,6.0,1.0,house,28.4794,77.0176
sector 92,0.7,5279.0,1325.0,3.0,2.0,flat,28.4079,76.9153
sector 102,2.0,17730.0,1456.0,3.0,3.0,flat,28.475,76.9715
sohna road,0.85,7589.0,1120.0,3.0,2.0,house,,
sector 12,6.0,14493.0,9000.0,9.0,9.0,house,28.4723,77.032
sector 14,6.5,20635.0,3150.0,4.0,4.0,house,28.4711,77.0454
sector 92,1.18,5207.0,2518.0,4.0,4.0,flat,28.4079,76.9153
sector 106,1.15,7419.0,1650.0,3.0,3.0,flat,28.5007,77.0003
sector 9,1.2,6667.0,2000.0,4.0,3.0,flat,28.4603,77.0
sohna road,0.28,5983.0,520.0,2.0,2.0,flat,,
sector 23,2.7,18621.0,1450.0,5.0,5.0,house,28.5121,77.0478
