price,status,area,price_per_sqft,property_type,locality,builder_name,rera_approval,bhk,society,company_name,flat_type,price_cr,price_segment,area_segment
10700000.0,Under Construction,1138,9450,2 Bhk Apartment In M3M Antalya Hills Phase I,Sector 79,Home,Approved By Rera,2,M3M Antalya Hills Phase I,M3M,Apartment,1.07,Mid Range,Medium
14400000.0,Under Construction,1528,9450,3 Bhk Apartment In M3M Antalya Hills Phase I,Sector 79,Property In Gurgaon,Approved By Rera,3,M3M Antalya Hills Phase I,M3M,Apartment,1.44,Mid Range,Medium
10700000.0,Under Construction,1138,9450,2 Bhk Apartment In M3M Antalya Hills Phase I,Sector 79,Properties For Sale In Gurgaon,Approved By Rera,2,M3M Antalya Hills Phase I,M3M,Apartment,1.07,Mid Range,Medium
40000000.0,Ready to Move,4500,8888,4 Bhk Independent Floor,Sector 57,Mm India Pvt Ltd,Not Approved By Rera,4,Outside Socity,Outside,Plot,4.0,Premium,Ultra Large
24000000.0,Under Construction,1800,13333,3 Bhk Independent Floor In Anant Raj Estate Plots,Sector 63,Mm India Pvt Ltd,Approved By Rera,3,Anant Raj Estate Plots,Anant,Floor,2.4,Premium,Medium
63800000.0,Ready to Move,2282,28000,3 Bhk Apartment In Dlf Park Place,Sector 54,Mm India Pvt Ltd,Not Approved By Rera,3,Dlf Park Place,DLF,Apartment,6.38,Luxury,Large
4500000.0,Ready to Move,920,4891,3 Bhk Apartment,Sector 3A,Seller,Not Approved By Rera,3,Outside Socity,Outside,Plot,0.45,Affordable,Compact
4500000.0,Ready to Move,1000,4500,2 Bhk Apartment,Sector 69,Seller,Not Approved By Rera,2,Outside Socity,Outside,Plot,0.45,Affordable,Medium
9000000.0,Ready to Move,1250,7200,3 Bhk Independent Floor In Bptp Astaire Garden Plots,Sector 70A,Seller,Not Approved By Rera,3,Bptp Astaire Garden Plots,BPTP,Floor,0.9,Affordable,Medium
74900000.0,Under Construction,3800,19736,4 Bhk Apartment In Dlf The Arbour,Sector 63,Seller,Approved By Rera,4,Dlf The Arbour,DLF,Apartment,7.49,Luxury,Ultra Large
19700000.0,Under Construction,2390,8250,4 Bhk Apartment In Navraj The Antalya,Sector 37D,Seller,Approved By Rera,4,Navraj The Antalya,Navraj,Apartment,1.97,Mid Range,Large
80100000.0,Under Construction,3956,20253,4 Bhk Apartment In Dlf The Arbour,Sector 63,Seller,Approved By Rera,4,Dlf The Arbour,DLF,Apartment,8.01,Luxury,Ultra Large
13700000.000000002,Under Construction,1450,9448,3 Bhk Apartment In Ss Cendana Residence,Sector 83,Superb Solution Providers Pvt Ltd,Approved By Rera,3,Ss Cendana Residence,SS,Apartment,1.37,Mid Range,Medium
22000000.0,Ready to Move,2450,8979,4 Bhk Independent Floor,Sector 51,Sharma Realtors Solution,Not Approved By Rera,4,Outside Socity,Outside,Plot,2.2,Premium,Large
15000000.0,Under Construction,1205,12448,3 Bhk Apartment In Signature Global City 81 Phase 2,Sector 81,Sm Realty,Approved By Rera,3,Signature Global City 81 Phase 2,Signature,Apartment,1.5,Mid Range,Medium
44000000.0,Under Construction,1677,26237,3 Bhk Apartment In Adani Brahma Samsara Vilasa,Sector 63,Impex Estates India Private Limited,Approved By Rera,3,Adani Brahma Samsara Vilasa,Adani,Apartment,4.4,Premium,Medium
12000000.0,Ready to Move,1430,8391,3 Bhk Apartment In Mapsko Casa Bella,Sector 82,Bricksblenders,Not Approved By Rera,3,Mapsko Casa Bella,Mapsko,Apartment,1.2,Mid Range,Medium
52500000.0,Ready to Move,2905,18072,4 Bhk Apartment In Tata Primanti,Sector 72,Corvous India Infratech Pvt Ltd,Not Approved By Rera,4,Tata Primanti,Tata,Apartment,5.25,Luxury,Large
4600000.0,Ready to Move,720,6388,1 Bhk Apartment In Ameya Sapphire Eighty Three,Sector 83,Ayuni Direct Realty,Not Approved By Rera,1,Ameya Sapphire Eighty Three,Ameya,Apartment,0.46,Affordable,Compact
30000000.0,Ready to Move,2082,14409,3 Bhk Apartment In Omaxe The Nile,Sector 49,Sagar,Not Approved By Rera,3,Omaxe The Nile,Omaxe,Apartment,3.0,Premium,Large
9900000.0,Ready to Move,1366,7247,2 Bhk Apartment In M3M Woodshire,Sector 107,Home,Not Approved By Rera,2,M3M Woodshire,M3M,Apartment,0.99,Affordable,Medium
45300000.0,Ready to Move,3969,11413,4 Bhk Independent Floor In Unitown Trehan Luxury Floor 63,Sector 63,Property In Gurgaon,Not Approved By Rera,4,Unitown Trehan Luxury Floor 63,Unitown,Floor,4.53,Premium,Ultra Large
120000000.0,Ready to Move,3500,34285,4 Bhk Apartment In Dlf The Belaire,Sector 54,Properties For Sale In Gurgaon,Not Approved By Rera,4,Dlf The Belaire,DLF,Apartment,12.0,Luxury,Ultra Large
35500000.0,Ready to Move,2450,14489,3 Bhk Apartment In Puri Emerald Bay,Sector 104,Bhoomi Realtors,Not Approved By Rera,3,Puri Emerald Bay,Puri,Apartment,3.55,Premium,Large
10500000.0,Ready to Move,1000,10500,2 Bhk Independent Floor In Signature Global City 92,Sector 92,Keshri Real Tech,Not Approved By Rera,2,Signature Global City 92,Signature,Floor,1.05,Mid Range,Medium
19000000.0,Ready to Move,2365,8033,4 Bhk Apartment In Pareena Express Heights,Sector 99A,Angel Bricks,Not Approved By Rera,4,Pareena Express Heights,Pareena,Apartment,1.9,Mid Range,Large
37000000.0,Ready to Move,1975,18734,4 Bhk Apartment In Emaar Emerald Floors Premier,Sector 65,Gk Realtors,Not Approved By Rera,4,Emaar Emerald Floors Premier,Emaar,Apartment,3.7,Premium,Medium
55000000.0,Under Construction,1469,37465,4 Bhk Apartment In Godrej Aristocrat,Sector 49,Yoga Reality,Approved By Rera,4,Godrej Aristocrat,Godrej,Apartment,5.5,Luxury,Medium
55000000.0,Under Construction,1469,37465,4 Bhk Apartment In Godrej Aristocrat,Sector 49,Gupta Realtors,Approved By Rera,4,Godrej Aristocrat,Godrej,Apartment,5.5,Luxury,Medium
20000000.0,Ready to Move,2000,10000,3 Bhk Independent Floor,Sector 46,Homes Solution,Not Approved By Rera,3,Outside Socity,Outside,Plot,2.0,Premium,Large
28000000.0,Under Construction,1902,14750,3 Bhk Apartment In M3M Golf Hills Phase 1,Sector 79,Ethos Pro Realtors,Approved By Rera,3,M3M Golf Hills Phase 1,M3M,Apartment,2.8,Premium,Medium
26800000.0,Under Construction,2000,13400,3 Bhk Apartment In Trehan Luxury Floors 71,Sector 71,The Assetree,Approved By Rera,3,Trehan Luxury Floors 71,Trehan,Apartment,2.68,Premium,Large
26800000.0,Under Construction,2000,13400,3 Bhk Apartment In Trehan Luxury Floors 71,Sector 71,Bargainer Propmart,Approved By Rera,3,Trehan Luxury Floors 71,Trehan,Apartment,2.68,Premium,Large
27000000.0,Ready to Move,2650,10188,4 Bhk Independent Floor In Emaar Emerald Floors Premier,Sector 65,Golden Frog Realty,Not Approved By Rera,4,Emaar Emerald Floors Premier,Emaar,Floor,2.7,Premium,Large
5700000.0,Ready to Move,632,9018,2 Bhk Apartment In Signature Global Orchard Avenue,Sector 93,Shree Associate,Not Approved By Rera,2,Signature Global Orchard Avenue,Signature,Apartment,0.57,Affordable,Compact
25000000.0,Ready to Move,1950,12820,3 Bhk Independent Floor In Raheja Sushant Lok 1 Floors,Sector 43,Khatri Properties Solution,Not Approved By Rera,3,Raheja Sushant Lok 1 Floors,Raheja,Floor,2.5,Premium,Medium
28000000.0,Under Construction,1902,14750,3 Bhk Apartment In M3M Golf Hills Phase 1,Sector 79,Urbankasa,Approved By Rera,3,M3M Golf Hills Phase 1,M3M,Apartment,2.8,Premium,Medium
26800000.0,Under Construction,2000,13400,3 Bhk Apartment In Trehan Luxury Floors 71,Sector 71,Paarth Realty,Approved By Rera,3,Trehan Luxury Floors 71,Trehan,Apartment,2.68,Premium,Large
12600000.0,Under Construction,1055,12000,2 Bhk Apartment In Signature Global City 79 B,Sector 79,Mehta Real Estate,Approved By Rera,2,Signature Global City 79 B,Signature,Apartment,1.26,Mid Range,Medium
28000000.0,Under Construction,1902,14750,3 Bhk Apartment In M3M Golf Hills Phase 1,Sector 79,Empire Landbase,Approved By Rera,3,M3M Golf Hills Phase 1,M3M,Apartment,2.8,Premium,Medium
21100000.0,Ready to Move,1046,20200,2 Bhk Apartment In Godrej Air,Sector 85,Home,Not Approved By Rera,2,Godrej Air,Godrej,Apartment,2.11,Premium,Medium
28000000.0,Under Construction,1902,14750,3 Bhk Apartment In M3M Golf Hills Phase 1,Sector 79,Property In Gurgaon,Approved By Rera,3,M3M Golf Hills Phase 1,M3M,Apartment,2.8,Premium,Medium
28000000.0,Under Construction,1902,14750,3 Bhk Apartment In M3M Golf Hills Phase 1,Sector 79,Properties For Sale In Gurgaon,Approved By Rera,3,M3M Golf Hills Phase 1,M3M,Apartment,2.8,Premium,Medium
45000000.0,Ready to Move,3400,13235,4 Bhk Independent Floor In Today Developer 6,Dlf Phase 2,Akhilesh Sharma,Not Approved By Rera,4,Today Developer 6,Today,Floor,4.5,Premium,Ultra Large
26800000.0,Under Construction,2000,13400,3 Bhk Apartment In Trehan Luxury Floors 71,Sector 71,Sevenrealtys,Approved By Rera,3,Trehan Luxury Floors 71,Trehan,Apartment,2.68,Premium,Large
37600000.0,Under Construction,1795,21000,3 Bhk Apartment In M3M M3M Crown,Sector 111,Accurate Realty Venture Private Limited,Approved By Rera,3,M3M M3M Crown,M3M,Apartment,3.76,Premium,Medium
28000000.0,Under Construction,1902,14750,3 Bhk Apartment In M3M Golf Hills Phase 1,Sector 79,Today Associates,Approved By Rera,3,M3M Golf Hills Phase 1,M3M,Apartment,2.8,Premium,Medium
48000000.0,Ready to Move,2802,17130,3 Bhk Apartment In Experion Windchants,Sector 112,Chirag Khatri,Not Approved By Rera,3,Experion W,Experion,Apartment,4.8,Premium,Large
12000000.0,Ready to Move,1322,9077,2 Bhk Apartment In Umang Winter Hills,Sector 77,Khushi Housing Solutions Pvt Ltd,Not Approved By Rera,2,Umang W,Umang,Apartment,1.2,Mid Range,Medium
14500000.0,Ready to Move,1490,9731,2 Bhk Apartment In Godrej 101,Sector 79,True Blue Advisers,Not Approved By Rera,2,Godrej 101,Godrej,Apartment,1.45,Mid Range,Medium
41000000.0,Ready to Move,2185,18764,3 Bhk Apartment,Sector 72,Rising Realtors,Not Approved By Rera,3,Outside Socity,Outside,Plot,4.1,Premium,Large
14900000.0,Ready to Move,1822,8177,3 Bhk Apartment In Umang Winter Hills,Sector 77,Get Home Fix,Not Approved By Rera,3,Umang W,Umang,Apartment,1.49,Mid Range,Medium
22500000.0,Under Construction,1829,12301,3 Bhk Apartment In Godrej Air,Sector 85,Arihant Dream Homes,Approved By Rera,3,Godrej Air,Godrej,Apartment,2.25,Premium,Medium
45000000.0,Ready to Move,3762,11961,4 Bhk Independent Floor In Raheja Sushant Lok 1 Floors,Sector 43,Neer Me Consultant,Not Approved By Rera,4,Raheja Sushant Lok 1 Floors,Raheja,Floor,4.5,Premium,Ultra Large
29000000.0,Under Construction,1855,15633,3 Bhk Apartment In Godrej Meridien,Sector 106,Sansiddhi Homes,Approved By Rera,3,Godrej Meridien,Godrej,Apartment,2.9,Premium,Medium
28000000.0,Ready to Move,2162,12950,4 Bhk Apartment In Shapoorji Pallonji Joyville Phase 1,Sector 102,Gateway Realty,Not Approved By Rera,4,Shapoorji Pallonji Joyville Phase 1,Shapoorji,Apartment,2.8,Premium,Large
27500000.0,Ready to Move,2103,13076,3 Bhk Apartment In Dlf The Primus,Sector 82A,Neeraj Co,Not Approved By Rera,3,Dlf The Primus,DLF,Apartment,2.75,Premium,Large
34000000.0,Under Construction,1967,17300,3 Bhk Apartment In Krisumi Waterfall Residences,Sector 36A,Gromax India,Approved By Rera,3,Krisumi Waterfall Residences,Krisumi,Apartment,3.4,Premium,Medium
6200000.0,Under Construction,765,8104,2 Bhk Independent House,Sector 104,Sunrise Property Consultants,Not Approved By Rera,2,Outside Socity,Outside,Plot,0.62,Affordable,Compact
28000000.0,Under Construction,1902,14750,3 Bhk Apartment In M3M Golf Hills Phase 1,Sector 79,Ag Luxury Abodes,Approved By Rera,3,M3M Golf Hills Phase 1,M3M,Apartment,2.8,Premium,Medium
