price,area,locality,property_type,bedroom_num,latitude,longitude
0.66,757,Kalyan,Apartment,2,19.24440956,73.12325287
0.62,652,Kalyan,Apartment,2,19.2572937,73.14887238
0.46,396,Dombivali,Apartment,1,19.20902634,73.08127594
5.2,1130,Ville Parle,Apartment,3,19.09784126,72.85115814
0.39,435,Nala Sopara,Apartment,1,19.42060089,72.80931854
0.49,720,Ulwe,Apartment,1,18.96756172,73.02495575
1.4,652,Jogeshwari,Apartment,2,19.13776207,72.86013031
1.64,565,Chembur,Apartment,2,19.0322113,72.89522552
7.5,1770,Nerul,Apartment,3,19.00825882,73.01303101
6.59,2600,Mulund,Apartment,4,19.18447304,72.94075775
0.3,590,Nallasopara W,Apartment,1,19.41750526,72.81793976
1.9,1685,Ulwe,Apartment,3,18.97142792,73.01415253
0.44,484,Kalyan,Apartment,1,19.24440956,73.12325287
0.76,801,Kalyan,Apartment,2,19.2572937,73.14887238
0.48,412,Dombivali,Apartment,1,19.20902634,73.08127594
4.1,891,Ville Parle,Apartment,3,19.09784126,72.85115814
0.35,390,Nala Sopara,Apartment,1,19.42060089,72.80931854
0.76,1095,Ulwe,Apartment,2,18.96756172,73.02495575
0.99,463,Jogeshwari,Apartment,1,19.13776207,72.86013031
1.2,415,Chembur,Apartment,1,19.0322113,72.89522552
0.28,484,Dombivli,Apartment,1,19.22516632,73.0796814
0.28,480,Taloje,Apartment,1,19.07429886,73.11659241
0.3,636,Panvel,Apartment,1,18.94964027,73.14614105
0.45,750,Shil Phata,Apartment,1,19.14541054,73.0394516
0.4,550,Dombivali,Apartment,2,19.20101738,73.09404755
0.17,575,Vangani,Apartment,1,19.09329033,73.29730225
0.62,685,Taloje,Apartment,1,19.07429886,73.11659241
0.48,594,Kalyan,Apartment,1,19.25495338,73.12568665
0.55,350,Kharghar,Apartment,1,19.06352806,73.05749512
0.45,700,Taloje,Apartment,1,19.07429886,73.11659241
0.28,484,Dombivli,Apartment,1,19.22516632,73.0796814
0.23,500,Nalasopara,Apartment,1,19.41014671,72.78446198
0.18,550,Shil Phata,Apartment,1,19.14541054,73.0394516
0.32,438,Dombivali,Apartment,1,19.20101738,73.09404755
0.23,500,Nalasopara,Apartment,1,19.41014671,72.78446198
0.18,550,Shil Phata,Apartment,1,19.14541054,73.0394516
0.25,400,Badlapur,Apartment,1,19.15452766,73.23560333
0.22,550,Mumbra,Apartment,1,19.16859055,73.02204132
0.26,535,Vasai,Apartment,1,19.39635086,72.86195374
0.3,699,Ambernath,Apartment,1,19.18672943,73.19139099
1.65,750,Powai,Apartment,1,19.11713028,72.89370728
3.32,1104,Powai,Apartment,3,19.1196804,72.89414978
1.1,1000,Koper Khairane,Apartment,2,19.10186005,73.00868225
1.44,1625,Kalamboli,Apartment,3,19.0367775,73.09087372
1.15,1330,Kalamboli,Apartment,2,19.0371151,73.08891296
1.08,1139,Kalamboli,Apartment,2,19.0348835,73.0936203
3.6,1050,Andheri,Apartment,3,19.14082718,72.81272888
0.55,540,Goregaon,Apartment,1,19.1553669,72.88744354
0.95,600,Borivali,Apartment,1,19.231287,72.85652161
0.26,415,Dombivli,Apartment,1,19.2219944,73.08733368
0.32,412,Andheri,Apartment,1,19.22118759,73.09005737
0.33,420,Dombivli,Apartment,1,19.2196312,73.08188629
0.38,557,Dombivli,Apartment,1,19.23182487,73.08622742
0.39,585,Dombivli,Apartment,1,19.21722984,73.08430481
0.52,559,Kasaradavali Thane,Apartment,1,19.27029419,72.96857452
10.0,1600,Vile Parle,Apartment,4,19.11406326,72.83135223
0.75,410,Kandivali,Apartment,1,19.19770813,72.87263489
0.58,682,Kasaradavali Thane,Apartment,1,19.26675606,72.96956635
0.91,951,Kasaradavali Thane,Apartment,2,19.26821518,72.97315979
0.53,642,Kasaradavali Thane,Apartment,1,19.26808357,72.96931458
2.3,945,Kandivali,Apartment,2,19.20595741,72.87180328
0.87,1124,Kalyan,Apartment,2,19.26209068,73.14604187
0.68,655,Mira Road,Apartment,1,19.26703453,72.871315
5.5,1800,Andheri,Apartment,3,19.14114189,72.82420349
0.92,1100,Ulwe,Apartment,2,18.96593475,73.02146149
0.85,900,Kalyan,Apartment,2,19.25943756,73.12046814
1.02,1062,Mira Road,Apartment,2,19.29721451,72.87187958
0.71,985,Kalyan,Apartment,2,19.2626152,73.14559937
2.8,846,Malad,Apartment,2,19.18372345,72.86148071
1.89,800,Mulund,Apartment,2,19.17477226,72.94526672
2.6,1020,Prabhadevi,Apartment,2,19.01009941,72.82971954
6.5,1500,Dadar,Apartment,3,19.01501846,72.83882141
0.75,200,Lower Parel,Apartment,1,19.00004578,72.82814026
0.85,1000,Taloja,Apartment,2,19.04730034,73.06990051
0.99,1000,Kharghar,Apartment,2,19.08944893,73.07676697
1.0,750,Panvel,Apartment,2,18.9363308,73.18986511
0.5,780,Panvel,Apartment,1,18.98917961,73.11742401
0.35,658,Taloja,Apartment,1,19.07429886,73.11659241
0.54,780,Panvel,Apartment,1,18.93676376,73.18147278
1.85,1000,Chembur,Apartment,2,19.04731178,72.89689636
1.76,950,Kandivali,Apartment,2,19.20872879,72.87319946
0.35,700,Koper Khairane,Apartment,1,19.07828712,73.07828522
2.65,950,Kandivali,Apartment,2,19.21030617,72.86837769
1.65,850,Kandivali,Apartment,2,19.21281815,72.86901855
1.65,850,Kandivali,Apartment,2,19.2081356,72.87116241
0.36,700,Ambernath,Apartment,1,19.20701027,73.18536377
0.27,700,Ambernath,Apartment,1,19.19906807,73.19509888
0.64,670,Kharghar,Apartment,1,19.04979515,73.07844543
1.15,1100,Kharghar,Apartment,2,19.06352615,73.05749512
1.15,1100,Kharghar,Apartment,2,19.06352615,73.05749512
1.3,1125,Kharghar,Apartment,2,19.0720787,73.0790863
1.0,1100,Kharghar,Apartment,2,19.06352615,73.05749512
1.19,1180,Panvel,Apartment,2,18.96635246,73.12533569
3.7,1010,Wadala,Apartment,3,19.02209282,72.86715698
0.79,1105,Panvel,Apartment,2,18.96832085,73.12882233
0.39,680,Taloje,Apartment,1,19.07429886,73.11659241
0.45,750,Virar,Apartment,1,19.45196724,72.80718231
1.07,850,Thane,Apartment,2,19.24264526,72.97179413
1.24,950,Thane,Apartment,2,19.23759651,72.97093201
2.65,1650,Thane,Apartment,4,19.23395538,72.98749542
0.68,600,Bhandup,Apartment,1,19.1570015,72.93418884
